,budget,tconst,poster_path,production_countries,revenue,status,production_companies_name,production_companies_country,Unnamed: 0,titleType,primaryTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,directors,nconst,category,characters,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,title,genre,director_principal
55740,0,tt6910020,/1Qk9eD3ZqmJ7V8bB28H7gUd1FPg.jpg,['BR'],0,Released,"['Paris Filmes', 'Record TV', 'Record Filmes', 'Downtown Filmes', 'Paris Entretenimento']","['BR', 'BR', '', 'BR', 'BR']",86497,movie,Nothing to Lose,0,2018-01-01,134,"Biography,Drama",2.3,23072,nm0042768,nm2124742,writer,unknown,Stephen P. Lindsey,,,"writer,actor,camera_department","tt1028532,tt3072182,tt6910020,tt1713497",Rien à perdre,Biography,Alexandre Avancini
55750,0,tt5797184,/5vePsmbekQ1ysXS6f0lhzgCwvc4.jpg,"['AU', 'CA', 'ZA', 'GB', 'US']",0,Released,"['MEP Capital', 'Momentum Pictures', 'Hamilton Entertainment', 'South Australian Film Corporation', 'Arclight Films', 'Particular Crowd', 'Spier Films', 'Enriched Media Group', 'Premiere Picture', 'Footprint Films', 'Beagle Pug Films']","['US', 'CA', '', 'AU', 'US', 'US', 'ZA', 'GB', 'GB', 'GB', 'GB']",71220,movie,Escape from Pretoria,0,2020-01-01,106,"Biography,Crime,Mystery",6.8,39520,nm2381441,nm0001324,actor,"[""Denis Goldberg""]",Ian Hart,1964-01-01,,"actor,writer,miscellaneous","tt0120660,tt0106339,tt0241527,tt5797184",Escape from Pretoria,Biography,Francis Annan
55760,0,tt7738450,/ynljTdiGVUCJJ6THSZi22SBoQAR.jpg,['US'],0,Released,"['Vanishing Angle', 'The 10 East']","['US', '']",87318,movie,Thunder Road,0,2018-01-01,92,"Comedy,Drama",7.0,18670,nm3526993,nm5251773,producer,unknown,Benjamin Wiessner,,,"producer,assistant_director,actor","tt11738830,tt7738450,tt9288692,tt11140488",Thunder Road,Comedy,Jim Cummings
55769,5000000,tt7958736,/6n7ASmQ1wY2cxTubFFGlcvPpyk7.jpg,['US'],51749995,Released,"['Universal Pictures', 'Blumhouse Productions', 'Wyolah Films']","['US', 'US', '']",60289,movie,Ma,0,2019-01-01,99,"Horror,Mystery,Thriller",5.6,55300,nm0853238,nm0000496,actress,"[""Erica""]",Juliette Lewis,1973-01-01,,"actress,soundtrack,director","tt0101540,tt0110632,tt1322269,tt0116367","Restez sains et saufs, Ma",Horror,Tate Taylor
55778,100000000,tt6718170,/qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg,"['JP', 'US']",1121048165,Released,"['Universal Pictures', 'Illumination', 'Nintendo']","['US', 'US', 'JP']",69172,movie,The Super Mario Bros. Movie,0,2023-01-01,92,"Adventure,Animation,Comedy",7.4,27491,"nm1739338,nm2398585,nm2966857,nm6042133",nm0085312,actor,"[""Bowser""]",Jack Black,1969-01-01,,"actor,producer,soundtrack","tt0332379,tt0457510,tt0360717,tt0146882",Super Mario Bros. le film,Adventure,Aaron Horvath
55788,0,tt7957694,/nAn3MRAUwbjVApN3qYkvsTEOAvx.jpg,['US'],0,Released,"['Redrover Co. Ltd.', 'Gulfstream Pictures']","['', 'US']",74005,movie,The Last Summer,0,2019-01-01,109,"Comedy,Romance",5.5,13665,nm0082841,nm0723573,producer,unknown,Wayne Allan Rice,,,"producer,writer,executive","tt0120241,tt4824302,tt0360139,tt0242423",The Last Summer,Comedy,William Bindley
55797,0,tt5363618,/3178oOJKKPDeQ2legWQvMPpllv.jpg,['US'],516520,Released,"['Flat 7', 'Ward Four', 'Caviar']","['US', 'US', 'US']",84836,movie,Sound of Metal,0,2019-01-01,120,"Drama,Music",7.7,135069,nm2942187,nm1981893,actor,"[""Ruben Stone""]",Riz Ahmed,1982-01-01,,"actor,soundtrack,producer","tt3748528,tt5363618,tt2872718,tt1341167",Sound of Metal,Drama,Darius Marder
55807,25000000,tt1086064,/4V2nTPfeB59TcqJcUfQ9ziTi7VN.jpg,"['CA', 'US']",0,Released,"['Endeavor Content', 'Hammerstone Studios', 'Lakeview Entertainment', 'TinRes Entertainment', 'Many Rivers Productions', 'Cittadino/Dugan Entertainment', 'Dial 9', 'Orion Pictures', 'Metro-Goldwyn-Mayer', 'Bloom']","['US', 'US', 'US', 'BS', 'US', '', '', 'US', 'US', 'US']",54019,movie,Bill & Ted Face the Music,0,2020-01-01,91,"Adventure,Comedy,Music",5.9,49680,nm0661751,nm0000206,actor,"[""Ted""]",Keanu Reeves,1964-01-01,,"actor,producer,soundtrack","tt0102685,tt0234215,tt0133093,tt0111257",Bill et Ted sauvent l'Univers,Adventure,Dean Parisot
55817,75000000,tt7979580,/mI2Di7HmskQQ34kz0iau6J1vr70.jpg,"['HK', 'US']",0,Released,"['Lord Miller Productions', 'Columbia Pictures', 'Sony Pictures Animation', 'One Cool Film Production']","['US', 'US', 'US', 'HK']",83191,movie,The Mitchells vs the Machines,0,2021-01-01,114,"Adventure,Animation,Comedy",7.6,114182,"nm5106831,nm6676487",nm0748973,actress,"[""Linda""]",Maya Rudolph,1972-01-01,,"actress,soundtrack,producer","tt1791528,tt1727388,tt1176740,tt1478338",Déconnectés,Adventure,Michael Rianda
55827,25000000,tt3224458,/p9vCAVhDK375XyobVcKqzqzsUHE.jpg,"['CN', 'US']",67925733,Released,"['TriStar Pictures', 'Tencent Pictures', 'Big Beach']","['US', 'CN', 'US']",46514,movie,A Beautiful Day in the Neighborhood,0,2019-01-01,109,"Biography,Drama",7.2,83447,nm1716636,nm0000158,actor,"[""Fred Rogers""]",Tom Hanks,1956-01-01,,"producer,actor,soundtrack","tt0162222,tt0094737,tt0109830,tt0120815",Un ami extraordinaire,Biography,Marielle Heller
